Country_Region,MedianPerCapitaIncome,Pop2020
Luxembourg,18418,625978
Norway,19308,5421241
Sweden,18632,10099265
Australia,15026,25499884
Denmark,18262,5792201
United States,15480,331002651
Canada,15181,37742154
South Korea,11950,51269185
Kuwait,7487,4270571
Netherlands,14450,17134872
New Zealand,12147,4822233
Hong Kong,9705,7496981
Austria,12284,9006398
Japan,10840,126476461
Germany,14098,83783942
Taiwan,6882,23816775
Singapore,7345,5850342
United Kingdom,12399,67886011
France,12445,65273511
Israel,7847,8655535
Belgium,10189,11589623
Qatar,5117,2881053
Slovenia,8656,2078938
Saudi Arabia,4762,34813871
Bahrain,4778,1701575
Finland,15725,5540720
Czech Republic,7821,10708981
Spain,7284,46754778
Malta,6869,441543
Italy,6874,60461825
Cyprus,4932,1207359
Greece,6086,10423054
Slovakia,5455,5459642
Croatia,5177,4105267
Portugal,5519,10196709
Poland,4578,37846611
Belarus,5236,9449323
Argentina,4109,45195774
Lebanon,2960,6825445
Estonia,5031,1326535
Hungary,4493,9660351
Lithuania,4719,2722289
Iran,3115,83992949
Russia,4129,145934462
Mexico,2900,128932753
Montenegro,3123,628066
Azerbaijan,2430,10139177
Malaysia,2267,32365999
Ukraine,3876,43733762
Latvia,4000,1886197
Tunisia,1646,11818618
Turkey,2538,84339067
Costa Rica,2032,5094117
Serbia,3020,8737371
Bulgaria,2829,6948445
Panama,2011,4314767
Jordan,1550,10203134
Syria,1431,17500658
Chile,2040,19116201
Uruguay,2488,3473730
Romania,2618,19237691
Algeria,1392,43851044
Brazil,2247,212559417
Kazakhstan,1958,18776707
Albania,1902,2877797
Thailand,1795,69799978
Ecuador,1682,17643054
Mauritania,778,4649657
Morocco,1135,36910560
Colombia,1534,50882890
Bolivia,1403,11673021
Libya,1012,6871291
Dominican Republic,1623,10847910
China,1786,1439323775
Paraguay,1292,7132538
Mongolia,1440,3278290
South Africa,1217,59308690
Peru,1077,32971854
Tajikistan,713,9537645
Honduras,821,9904607
El Salvador,1114,6486205
Vietnam,1124,97338579
Guatemala,898,17915568
Moldova,1329,4033962
Afghanistan,378,38928346
Pakistan,480,220892340
Kyrgyzstan,828,6524195
Comoros,598,869601
Senegal,402,16743927
Armenia,926,2963243
Sudan,579,43849260
Botswana,740,2351627
Angola,720,32866272
Laos,615,7275560
Sri Lanka,719,21413249
Yemen,400,29825964
India,616,1380004385
Egypt,623,102334404
Bangladesh,567,164689383
Haiti,627,11402528
Nepal,519,29136807
Niger,307,24206644
Nigeria,493,206139588
Georgia,734,3989167
Philippines,478,109581078
Chad,338,16425863
Sierra Leone,233,7976983
Cambodia,451,16718965
Indonesia,541,273523615
Tanzania,384,59734218
Republic of the Congo,416,5518087
Cameroon,403,26545862
Ghana,47,31072940
DR Congo,308,89561403
Kenya,402,53771295
Uganda,296,45741007
Burkina Faso,168,20903273
Benin,237,12123200
Zambia,287,18383955
Rwanda,235,12952218
Madagascar,205,27691017
Liberia,118,5057681
Burundi,129,11890784
Togo,279,8278724
